tOAAm,xOAAm,yOAAm
10.87,-0.0367882,0.2867995
10.90,-0.0245993,0.2833169
10.93,-0.0141517,0.2833169
10.97,-0.0019627,0.2833169
11.00,0.0050023,0.2833169
11.03,0.0154500,0.2833169
11.07,0.0346040,0.2833169
11.10,0.0554992,0.2833169
11.13,0.0729120,0.2850582
11.17,0.0816183,0.2850582
11.20,0.0868421,0.2850582
11.27,0.0938072,0.2850582
11.30,0.1042548,0.2850582
11.33,0.1129612,0.2850582
11.37,0.1042548,0.2850582
11.40,0.0955485,0.2850582
11.43,0.0903247,0.2850582
11.47,0.0589818,0.2885407
11.50,0.0485341,0.2885407
11.53,0.0380865,0.2885407
11.57,0.0276389,0.2885407
11.63,0.0102262,0.2850582
11.67,0.0032611,0.2867995
11.70,-0.0106691,0.2867995
11.73,-0.0176342,0.2867995
11.77,-0.0263406,0.2867995
11.80,-0.0437533,0.2867995
11.83,-0.0507184,0.2867995
11.90,-0.0611660,0.2867995
11.93,-0.0681311,0.2867995
11.97,-0.0855438,0.2867995
12.00,-0.0959914,0.2867995
12.03,-0.0959914,0.2867995
12.07,-0.1046978,0.2885407
12.10,-0.1029565,0.2867995
12.13,-0.0994740,0.2833169
12.17,-0.0855438,0.2815757
12.20,-0.0803200,0.2815757
12.23,-0.0785787,0.2815757
12.27,-0.0663898,0.2815757
12.30,-0.0576835,0.2815757
12.33,-0.0350469,0.2815757
12.37,-0.0245993,0.2815757
12.40,-0.0176342,0.2815757
12.43,-0.0019627,0.2815757
12.47,0.0137087,0.2815757
12.53,0.0398278,0.2815757
12.57,0.0607231,0.2815757
12.60,0.0729120,0.2815757
12.63,0.0833596,0.2815757
12.67,0.0955485,0.2815757
12.70,0.0868421,0.2815757
12.73,0.0729120,0.2815757
12.77,0.0589818,0.2815757
12.80,0.0851009,0.2833169
12.83,0.0554992,0.2815757
12.87,0.0467929,0.2815757
12.90,0.0450516,0.2815757
12.93,0.0415691,0.2815757
12.97,0.0328627,0.2815757
13.00,0.0328627,0.2815757
13.03,0.0224151,0.2815757
13.07,0.0171913,0.2815757
13.10,0.0102262,0.2815757
13.13,0.0015198,0.2815757
13.17,-0.0037040,0.2815757
13.20,-0.0158929,0.2850582
13.23,-0.0315644,0.2867995
13.27,-0.0437533,0.2867995
13.30,-0.0524596,0.2833169
13.33,-0.0646485,0.2867995
13.37,-0.0681311,0.2867995
13.40,-0.0803200,0.2920233
13.43,-0.0890263,0.2972471
13.47,-0.0942502,0.2972471
13.50,-0.0942502,0.2955058
13.53,-0.1012152,0.2955058
13.57,-0.0925089,0.2955058
13.60,-0.0907676,0.2955058
13.63,-0.0872851,0.2955058
13.67,-0.0803200,0.2955058
13.70,-0.0733549,0.2920233
13.73,-0.0559422,0.2902820
13.77,-0.0437533,0.2867995
13.80,-0.0385295,0.2867995
13.83,-0.0280818,0.2867995
13.90,-0.0158929,0.2798344
13.93,-0.0019627,0.2902820
13.97,0.0067436,0.2902820
14.00,0.0171913,0.2902820
14.03,0.0241563,0.2902820
14.07,0.0380865,0.2902820
14.10,0.0450516,0.2902820
14.13,0.0520167,0.2902820
14.17,0.0554992,0.2902820
14.20,0.0589818,0.2902820
14.23,0.0694294,0.2902820
14.27,0.0729120,0.2902820
14.30,0.0798770,0.2902820
14.33,0.0694294,0.2867995
14.37,0.0676881,0.2867995
14.40,0.0624643,0.2867995
14.43,0.0624643,0.2867995
14.47,0.0520167,0.2867995
14.50,0.0415691,0.2867995
14.53,0.0328627,0.2867995
14.57,0.0276389,0.2867995
14.60,0.0119674,0.2867995
14.63,0.0067436,0.2867995
14.67,-0.0141517,0.2885407
14.70,-0.0176342,0.2885407
14.73,-0.0315644,0.2937646
14.77,-0.0315644,0.2937646
14.80,-0.0454945,0.2902820
14.83,-0.0524596,0.2885407
14.87,-0.0611660,0.2885407
14.90,-0.0646485,0.2885407
14.93,-0.0663898,0.2885407
14.97,-0.0750962,0.2885407
15.00,-0.0750962,0.2885407
15.03,-0.0733549,0.2885407
15.07,-0.0733549,0.2885407
15.10,-0.0733549,0.2885407
15.13,-0.0594247,0.2885407
15.17,-0.0524596,0.2885407
15.20,-0.0402707,0.2885407
15.23,-0.0385295,0.2885407
15.27,-0.0315644,0.2885407
15.30,-0.0228580,0.2867995
15.33,-0.0193755,0.2867995
15.37,-0.0141517,0.2867995
15.40,-0.0037040,0.2867995
15.43,0.0032611,0.2867995
15.47,0.0154500,0.2867995
15.50,0.0241563,0.2867995
15.53,0.0276389,0.2867995
15.57,0.0380865,0.2867995
15.63,0.0380865,0.2867995
15.67,0.0537580,0.2867995
15.70,0.0659469,0.2920233
15.73,0.0659469,0.2920233
15.77,0.0642056,0.2920233
15.80,0.0781358,0.2937646
15.83,0.0607231,0.2937646
15.87,0.0502754,0.2937646
15.90,0.0415691,0.2937646
15.93,0.0363452,0.2937646
15.97,0.0276389,0.2937646
16.00,0.0171913,0.2937646
16.03,0.0171913,0.2937646
16.07,0.0032611,0.2937646
16.10,0.0015198,0.2937646
16.13,-0.0106691,0.2937646
16.17,-0.0124104,0.2937646
16.20,-0.0437533,0.2937646
16.23,-0.0420120,0.2937646
16.27,-0.0437533,0.2937646
16.30,-0.0454945,0.2937646
16.33,-0.0454945,0.2937646
16.37,-0.0576835,0.2920233
16.40,-0.0524596,0.2867995
16.43,-0.0559422,0.2867995
16.47,-0.0559422,0.2867995
16.50,-0.0559422,0.2867995
16.53,-0.0559422,0.2867995
16.57,-0.0559422,0.2867995
16.60,-0.0507184,0.2867995
16.63,-0.0420120,0.2867995
16.67,-0.0385295,0.2867995
16.70,-0.0333056,0.2867995
16.73,-0.0280818,0.2867995
16.77,-0.0228580,0.2867995
16.80,-0.0106691,0.2867995
16.87,-0.0037040,0.2867995
16.90,0.0015198,0.2867995
16.93,0.0102262,0.2867995
16.97,0.0171913,0.2867995
17.00,0.0311214,0.2885407
17.03,0.0398278,0.2885407
17.07,0.0415691,0.2885407
17.10,0.0502754,0.2885407
17.13,0.0398278,0.2885407
17.17,0.0485341,0.2885407
17.20,0.0485341,0.2885407
17.23,0.0450516,0.2885407
17.27,0.0433103,0.2885407
17.30,0.0433103,0.2885407
17.33,0.0363452,0.2885407
17.40,0.0189325,0.2885407
17.47,0.0137087,0.2885407
17.50,0.0102262,0.2885407
17.53,0.0084849,0.2902820
17.57,0.0050023,0.2902820
17.60,-0.0037040,0.2902820
17.63,-0.0089278,0.2902820
17.67,-0.0124104,0.2902820
17.70,-0.0176342,0.2902820
17.73,-0.0245993,0.2902820
17.80,-0.0333056,0.2937646
17.83,-0.0350469,0.2937646
17.87,-0.0454945,0.2955058
17.90,-0.0489771,0.2955058
17.93,-0.0524596,0.2955058
18.00,-0.0489771,0.2955058
18.03,-0.0402707,0.2955058
